invoice_id,date,description,amount,currency,room_number,category_true
INV00001,2024-02-05,Laundry service - 1 items express,15.64,GBP,144,Laundry & Housekeeping
INV00002,2024-11-22,Conference room rental - 120h,1589.52,GBP,170,Events & Meetings
INV00003,2025-07-07,Projector + screen rental,1262.56,EUR,407,Events & Meetings
INV00004,2024-10-19,"MB: 1x juice, chocolate bar",12.63,GBP,122,Food & Beverage - Minibar
INV00005,2024-07-19,Kids meal: chicken nuggets + juice,18.28,EUR,210,Food & Beverage - Restaurant
INV00006,2025-03-18,Limo service to airport,138.68,USD,468,Transportation
INV00007,2025-05-18,Bicycle rental 4 hours,103.83,USD,435,Transportation
INV00008,2025-01-03,Thai green curry with jasmine rice,12.02,EUR,264,Food & Beverage - Restaurant
INV00009,2024-09-01,Minibar consumption Room 347,46.13,EUR,276,Food & Beverage - Minibar
INV00010,2025-12-27,Express launrdy same day - 4 items,37.83,EUR,501,Laundry & Housekeeping
INV00011,2024-03-10,Dr ycleaning: 3 suits,43.91,EUR,175,Laundry & Housekeeping
INV00012,2025-04-02,"MB 350: 2 water, 1 coke, peanuts",29.44,EUR,253,Food & Beverage - Minibar
INV00013,2024-08-11,Yoga class - private session 90min,127.94,USD,350,Spa & Wellness
INV00014,2024-06-24,Thai green curry with jasmine rice,31.44,USD,118,Food & Beverage - Restaurant
INV00015,2025-11-07,Valet parking - 7 nights,195.19,USD,122,Transportation
INV00016,2024-11-14,IRONING SERVICE - 2 PIECES,78.68,EUR,493,Laundry & Housekeeping
INV00017,2025-01-11,Room safe deposit box,53.46,EUR,250,Room Charges
INV00018,2024-05-03,RS: 2x club sandwich delivered to 107,41.62,USD,121,Food & Beverage - Room Service
INV00019,2024-11-05,Couples spa package: massage + facial,318.88,USD,434,Spa & Wellness
INV00020,2025-11-10,Room upgrade: Standard to Deluxe,91.35,EUR,459,Room Charges
INV00021,2024-05-14,Thai green curry with jasmine rice,70.09,EUR,426,Food & Beverage - Restaurant
INV00022,2024-10-10,Room service: pizza + coffee - Room 384,31.54,GBP,125,Food & Beverage - Room Service
INV00023,2024-04-16,Bicycle renatl 7 hours,48.37,EUR,416,Transportation
INV00024,2024-05-30,Hot stone massage - 30 min session,56.58,EUR,336,Spa & Wellness
INV00025,2024-11-02,Thai green curry with jasmine rice,14.37,GBP,449,Food & Beverage - Restaurant
INV00026,2024-12-18,Limo serviec to airport,103.11,EUR,322,Transportation
INV00027,2025-10-27,Room service: bruger + water - Room 511,36.47,USD,242,Food & Beverage - Room Service
INV00028,2025-11-26,Spa day pass - pool + sauna + hammam,71.51,EUR,475,Spa & Wellness
INV00029,2025-05-30,Minibar consumption Room 108,30.31,EUR,290,Food & Beverage - Minibar
INV00030,2025-02-24,Breakfast buffet - 1 guests,56.72,USD,194,Food & Beverage - Restaurant
INV00031,2025-04-12,Room 491: breakfast in bed - full english,48.33,USD,165,Food & Beverage - Room Service
INV00032,2024-07-12,Deep tissue massage 60 minutes,175.56,USD,363,Spa & Wellness
INV00033,2024-02-01,Body scrub + wrap treatment,296.99,EUR,265,Spa & Wellness
INV00034,2024-11-14,Spa day pass - pool+  sauna + hammam,200.63,EUR,360,Spa & Wellness
INV00035,2025-06-18,Rollaway bed -7  nights,45.47,GBP,169,Room Charges
INV00036,2025-09-24,Caesar salad + sparkling water,12.66,USD,226,Food & Beverage - Restaurant
INV00037,2024-12-07,Breakfast buffet - 4 guests,114.97,EUR,305,Food & Beverage - Restaurant
INV00038,2025-08-07,Housekeeping extra cleaning request,59.81,USD,393,Laundry & Housekeeping
INV00039,2025-04-04,Airport shuttle round trip,189.46,EUR,222,Transportation
INV00040,2024-07-18,Night RS 362: cheese toastie + tea,62.34,USD,406,Food & Beverage - Room Service
INV00041,2025-12-20,Caesar salad + sparkling water,94.64,EUR,102,Food & Beverage - Restaurant
INV00042,2024-07-30,2x espresso + 1 croissant,49.26,EUR,145,Food & Beverage - Restaurant
INV00043,2024-09-21,Caesar salad + spakrling water,27.79,USD,272,Food & Beverage - Restaurant
INV00044,2024-01-14,Turndown service + extra towels,34.48,EUR,171,Laundry & Housekeeping
INV00045,2025-11-05,Mini bar: 5 soft drinks + snacks,64.86,EUR,317,Food & Beverage - Minibar
INV00046,2025-10-10,Cheese platter + glass of wine,64.66,EUR,335,Food & Beverage - Restaurant
INV00047,2024-07-05,Airport transfer - one way,200.22,EUR,308,Transportation
INV00048,2024-10-19,Room 316 - late night snack + minibar,21.83,USD,119,Food & Beverage - Room Service
INV00049,2025-05-25,Airport shuttle round trip,191.88,EUR,257,Transportation
INV00050,2024-11-28,Business center: printing 5 pages + scanning,971.78,EUR,231,Events & Meetings
INV00051,2025-08-19,Spa tretament - Swedish massage 90min,335.57,USD,311,Spa & Wellness
INV00052,2025-02-17,Caesar salad + sparkling water,40.75,EUR,439,Food & Beverage - Restaurant
INV00053,2024-03-19,Facial treatment - anti aging premium,171.95,USD,516,Spa & Wellness
INV00054,2025-09-23,2x espresso + 1 croissant,103.07,EUR,206,Food & Beverage - Restaurant
INV00055,2025-04-25,RS #381: continental breakfast,66.54,EUR,410,Food & Beverage - Room Service
INV00056,2024-05-28,Housekeeping extra cleaning request,19.74,EUR,215,Laundry & Housekeeping
INV00057,2024-10-17,RS: 2x club sandwich delivered to 486,49.81,EUR,137,Food & Beverage - Room Service
INV00058,2025-09-26,Bicycle rental 3 hours,62.16,EUR,510,Transportation
INV00059,2025-03-04,CHEESE PLATTER + GLASS OF WINE,15.07,USD,473,Food & Beverage - Restaurant
INV00060,2024-08-01,Express laundry same day - 6 items,39.66,EUR,164,Laundry & Housekeeping
INV00061,2025-10-12,Pizza Margherita + sprite,86.33,EUR,222,Food & Beverage - Restaurant
INV00062,2024-12-28,Night RS 364: cheese toastie + tea,93.22,EUR,377,Food & Beverage - Room Service
INV00063,2024-07-20,Hot stone massage - 30 min session,215.2,EUR,116,Spa & Wellness
INV00064,2025-03-27,Breakafst buffet - 3 guests,88.48,EUR,221,Food & Beverage - Restaurant
INV00065,2024-10-08,AV equipment rental full day,753.99,GBP,312,Events & Meetings
INV00066,2025-07-22,Dry claening: 5 suits,51.13,EUR,187,Laundry & Housekeeping
INV00067,2025-01-03,Room damage charge - broken lamp,23.74,EUR,350,Room Charges
INV00068,2024-09-22,Pizza Margherita + water,32.18,EUR,295,Food & Beverage - Restaurant
INV00069,2024-09-29,Rm 206: breakfast in bed - full english,28.53,EUR,383,Food & Beverage - Room Service
INV00070,2024-10-25,"Minibar: 3x beer, 4x wine, chips",20.18,EUR,246,Food & Beverage - Minibar
INV00071,2024-09-09,Kids meal: chicken nuggets + juice,84.95,EUR,424,Food & Beverage - Restaurant
INV00072,2024-02-14,Night RS 222: cheese toastie + tea,83.15,GBP,391,Food & Beverage - Room Service
INV00073,2024-06-11,Room service order #269: burger + fries + coke,20.12,EUR,255,Food & Beverage - Room Service
INV00074,2024-05-08,Lunch set menu: soup + main + dessert,19.69,EUR,106,Food & Beverage - Restaurant
INV00075,2024-03-05,Rollaway bed - 6 nights,145.34,EUR,493,Room Charges
INV00076,2025-07-13,Room 239 - late night snack + minibar,84.86,USD,223,Food & Beverage - Room Service
INV00077,2024-05-19,Conference room rental - 60h,767.77,USD,274,Events & Meetings
INV00078,2025-09-19,Yoga class - private session 30min,238.15,GBP,109,Spa & Wellness
INV00079,2025-03-21,Room service order #146: burger + fries + coke,54.26,USD,278,Food & Beverage - Room Service
INV00080,2025-07-18,airport transfer - one way,237.28,EUR,299,Transportation
INV00081,2025-07-05,Sushi platter 12 pcs,93.66,USD,188,Food & Beverage - Restaurant
INV00082,2024-12-12,Bicycle rental 1 hours,190.23,USD,513,Transportation
INV00083,2025-12-10,Room 280: breakfast in bed - full english,71.97,EUR,247,Food & Beverage - Room Service
INV00084,2025-03-08,Car rental arrangement - 4 days,88.88,EUR,174,Transportation
INV00085,2025-03-25,Mini bar: 3 soft drinks + snacks,42.44,USD,191,Food & Beverage - Minibar
INV00086,2025-02-04,AV equipment rental full day,88.76,USD,474,Events & Meetings
INV00087,2025-02-22,Pasta carbonara + garlic bread,100.95,GBP,480,Food & Beverage - Restaurant
INV00088,2024-11-12,"Minibar: 2x beer, 2x wine, chips",18.3,GBP,369,Food & Beverage - Minibar
INV00089,2024-06-01,RS #304: continental breakfast,84.14,EUR,412,Food & Beverage - Room Service
INV00090,2024-03-02,Wedding package deposit,895.0,EUR,209,Events & Meetings
INV00091,2024-06-26,Minibar restock + consumption Rm244,37.13,USD,128,Food & Beverage - Minibar
INV00092,2024-07-04,Club sandwich + french fries + wine,98.32,GBP,371,Food & Beverage - Restaurant
INV00093,2025-11-14,Caesar salad + sparkling water,64.75,USD,444,Food & Beverage - Restaurant
INV00094,2024-01-07,Thai green curry with jasmine rice,66.86,EUR,132,Food & Beverage - Restaurant
INV00095,2025-11-30,Conference room rental - 60h,562.27,EUR,142,Events & Meetings
INV00096,2025-03-26,Burger deluxe + onion rings + sprite,56.7,USD,398,Food & Beverage - Restaurant
INV00097,2024-10-28,Minibar consumption Rm 109,45.57,USD,456,Food & Beverage - Minibar
INV00098,2025-07-02,Event space: cocktail reception 6 guests,582.27,GBP,480,Events & Meetings
INV00099,2024-10-16,Rm 207 - late night snack + minibar,51.37,EUR,472,Food & Beverage - Room Service
INV00100,2025-12-30,Body scrub + wrap treatment,289.76,EUR,294,Spa & Wellness
INV00101,2025-02-24,LIMO SERVICE TO AIRPORT,126.6,EUR,418,Transportation
INV00102,2024-09-27,Couples spa package: massage + facial,135.21,EUR,456,Spa & Wellness
INV00103,2024-03-12,"minibar: 5x beer, 4x wine, chips",47.14,USD,426,Food & Beverage - Minibar
INV00104,2025-04-15,Spa day pass - pool + sauna + hammam,104.2,USD,217,Spa & Wellness
INV00105,2024-02-05,Room 325 - late night snack + minibar,55.19,EUR,325,Food & Beverage - Room Service
INV00106,2024-07-26,Club sandwich + french fires + tea,34.97,EUR,418,Food & Beverage - Restaurant
INV00107,2024-10-27,Aromatherapy ssesion 30min,294.43,EUR,480,Spa & Wellness
INV00108,2025-01-24,Business center: printing 2 pages + scanning,1848.41,GBP,349,Events & Meetings
INV00109,2024-09-08,Deep tissue massage 60 minutes,283.06,USD,432,Spa & Wellness
INV00110,2024-05-28,Lunch set menu: soup + main + dessert,32.08,EUR,419,Food & Beverage - Restaurant
INV00111,2024-12-11,AV equipment rental full day,1917.2,USD,310,Events & Meetings
INV00112,2024-11-22,Projector + screen rental,1070.2,GBP,338,Events & Meetings
INV00113,2025-12-08,Room damage charge - broken lamp,146.15,EUR,421,Room Charges
INV00114,2024-12-16,Meeting room: half day + coffee break,859.75,EUR,344,Events & Meetings
INV00115,2024-02-12,Spa treatment - Swedish massage 120min,166.68,EUR,203,Spa & Wellness
INV00116,2024-01-20,Lunch set menu: soup + main +d essert,94.92,EUR,305,Food & Beverage - Restaurant
INV00117,2025-03-13,Aromatherapy session 90min,101.67,USD,513,Spa & Wellness
INV00118,2024-03-12,Early checki-n surcharge,25.74,GBP,293,Room Charges
INV00119,2025-07-11,Manicure + pedicure combo,123.88,USD,509,Spa & Wellness
INV00120,2025-04-26,Pasta carbonara + garlic bread,102.52,USD,339,Food & Beverage - Restaurant
INV00121,2025-12-17,Hot stone massage - 45 min session,57.71,USD,247,Spa & Wellness
INV00122,2025-03-13,"MB: 3x juice, chocolate bar",8.48,EUR,265,Food & Beverage - Minibar
INV00123,2025-12-18,Cheese platter + glass of wine,35.22,EUR,282,Food & Beverage - Restaurant
INV00124,2025-01-14,RS #470: continental breakfast,59.07,EUR,509,Food & Beverage - Room Service
INV00125,2024-01-05,Dinner: grilled salmon with vegetables,112.07,EUR,361,Food & Beverage - Restaurant
INV00126,2024-09-18,Room upgrade: Standard to Deluxe,33.21,GBP,470,Room Charges
INV00127,2024-09-28,Body scrub + wrap treatment,272.14,USD,213,Spa & Wellness
INV00128,2025-07-03,Body scrub + wrap treatment,151.71,EUR,276,Spa & Wellness
INV00129,2024-09-03,RS #455: continental breakfast,25.24,GBP,463,Food & Beverage - Room Service
INV00130,2024-01-06,Pasta carbonara + garlic bread,112.1,EUR,338,Food & Beverage - Restaurant
INV00131,2025-05-11,Facial treatment - anti aging premium,91.51,USD,463,Spa & Wellness
INV00132,2024-08-15,Lunch set menu: soup + main + dessert,114.3,EUR,392,Food & Beverage - Restaurant
INV00133,2025-10-09,Minibar restoc k+ consumption Rm337,21.91,USD,173,Food & Beverage - Minibar
INV00134,2024-08-04,Breakfast buffet - 1 guests,84.06,USD,134,Food & Beverage - Restaurant
INV00135,2024-12-25,Aromatherapy session 60min,266.27,EUR,478,Spa & Wellness
INV00136,2025-01-15,Ironing service - 1 pieces,26.31,GBP,123,Laundry & Housekeeping
INV00137,2025-04-09,AV equipment rental full day,1528.73,EUR,431,Events & Meetings
INV00138,2025-03-27,Pasta carbonara + garlic bread,45.2,EUR,213,Food & Beverage - Restaurant
INV00139,2025-07-26,ROOM 325: BREAKFAST IN BED - FULL ENGLISH,49.92,EUR,344,Food & Beverage - Room Service
INV00140,2024-06-28,Room service order #274: burger + fries + coke,56.11,EUR,322,Food & Beverage - Room Service
INV00141,2024-01-31,Pasta carbonara + garlic bread,106.11,USD,293,Food & Beverage - Restaurant
INV00142,2024-11-10,Airport shuttle round trip,182.13,EUR,105,Transportation
INV00143,2025-11-08,Airport transfer - one way,91.35,USD,469,Transportation
INV00144,2024-09-29,Extra bed added to Room 314,88.88,GBP,348,Room Charges
INV00145,2024-08-07,Room upgrade: Standadr to Deluxe,184.37,EUR,396,Room Charges
INV00146,2025-11-10,Steak medium rare wtih mashed potatoes,50.08,EUR,248,Food & Beverage - Restaurant
INV00147,2024-08-28,"Laundr:y 3x shirts, 4x pants",52.36,EUR,457,Laundry & Housekeeping
INV00148,2024-09-04,Club sandwich + french fries + water,85.95,EUR,300,Food & Beverage - Restaurant
INV00149,2024-08-30,Minibar 462: whisky miniature + mixer,36.92,EUR,433,Food & Beverage - Minibar
INV00150,2024-05-03,Breakfast buffet - 3 guests,119.06,USD,505,Food & Beverage - Restaurant
INV00151,2025-03-30,Spa treatment - Swedish massage 45min,47.56,EUR,362,Spa & Wellness
INV00152,2025-08-11,Wedding package deposit,926.5,EUR,161,Events & Meetings
INV00153,2025-08-31,Rm upgrade: Standard to Deluxe,147.2,EUR,334,Room Charges
INV00154,2025-09-21,Turndown servic e+ extra towels,65.21,USD,408,Laundry & Housekeeping
INV00155,2024-02-28,Dry cleaning: 2 suits,29.76,GBP,185,Laundry & Housekeeping
INV00156,2025-12-26,EXTRA BED ADDED TO ROOM 225,140.72,USD,516,Room Charges
INV00157,2025-08-04,Room 250: breakfast in bed - full english,31.28,USD,388,Food & Beverage - Room Service
INV00158,2025-10-10,PIZZA MARGHERITA + BEER,105.81,EUR,186,Food & Beverage - Restaurant
INV00159,2025-11-04,2X ESPRESSO + 1 CROISSANT,37.9,EUR,121,Food & Beverage - Restaurant
INV00160,2024-01-25,Minibar consumption Room 225,17.03,USD,233,Food & Beverage - Minibar
INV00161,2025-05-08,RS: 2x club sandwich delivered to 311,73.64,EUR,312,Food & Beverage - Room Service
INV00162,2025-10-07,Car rental arrangement - 7 days,44.47,EUR,154,Transportation
INV00163,2025-03-13,Conference room rental - 60h,166.09,USD,517,Events & Meetings
INV00164,2024-06-28,Room service order #327: burger + fries + coke,68.2,EUR,335,Food & Beverage - Room Service
INV00165,2025-07-29,Room upgrade: Standard to Deluxe,115.27,EUR,464,Room Charges
INV00166,2025-03-31,Pizza Margherita + sprite,101.79,USD,312,Food & Beverage - Restaurant
INV00167,2024-09-19,AV equipment rental full day,1175.89,EUR,366,Events & Meetings
INV00168,2025-03-02,Crib rental - 3 nights,155.37,EUR,419,Room Charges
INV00169,2025-11-14,"MB: 6x juice, chocolate bar",60.98,EUR,263,Food & Beverage - Minibar
INV00170,2024-02-01,Caesar salad + sparklin gwater,51.74,EUR,196,Food & Beverage - Restaurant
INV00171,2025-01-21,Car rental arrangement - 4 days,62.1,EUR,414,Transportation
INV00172,2024-03-31,Aromatherapy session 60min,151.34,EUR,410,Spa & Wellness
INV00173,2025-10-12,Hot stone massage - 30 min session,240.45,EUR,202,Spa & Wellness
INV00174,2025-01-19,Crib rental - 6 nights,103.55,EUR,269,Room Charges
INV00175,2025-01-08,Minibar consumption Room 122,56.41,USD,418,Food & Beverage - Minibar
INV00176,2025-12-27,Pizza Margherita + coffee,100.74,EUR,349,Food & Beverage - Restaurant
INV00177,2024-02-12,Business center: printing 3 pgaes + scanning,502.02,USD,287,Events & Meetings
INV00178,2024-11-06,RS: 2x club sandwich delivered to 467,59.84,USD,426,Food & Beverage - Room Service
INV00179,2024-03-29,MANICURE + PEDICURE COMBO,149.21,EUR,143,Spa & Wellness
INV00180,2025-04-27,Caesar salad + sparkling water,78.36,USD,497,Food & Beverage - Restaurant
INV00181,2025-12-16,Flipchart + markers + whiteboard,1367.88,EUR,101,Events & Meetings
INV00182,2024-05-01,Couples spa package: massage + facial,324.11,EUR,232,Spa & Wellness
INV00183,2024-09-27,Wedding package deposit,1332.64,EUR,201,Events & Meetings
INV00184,2025-10-28,Car retnal arrangement - 5 days,118.67,EUR,194,Transportation
INV00185,2025-07-08,Early check-i nsurcharge,186.11,GBP,314,Room Charges
INV00186,2024-04-26,Club sandwich + french fries + sprite,89.53,USD,242,Food & Beverage - Restaurant
INV00187,2024-01-26,Room damage charge - broken lamp,195.0,USD,478,Room Charges
INV00188,2024-10-23,Parking 5 days - underground,188.53,EUR,136,Transportation
INV00189,2024-08-03,"Minibar: 4x beer, 4x wine, chips",58.83,USD,354,Food & Beverage - Minibar
INV00190,2025-06-28,Burger deluxe + onion rings + juice,93.91,EUR,336,Food & Beverage - Restaurant
INV00191,2025-05-23,Deep tissue massage 60 minutes,101.05,EUR,161,Spa & Wellness
INV00192,2025-12-11,Burger delux e+ onion rings + juice,116.98,USD,154,Food & Beverage - Restaurant
INV00193,2025-02-17,Event space: cocktail reception 7 guests,855.66,EUR,114,Events & Meetings
INV00194,2025-02-16,Room 465: breakfast in bed - full english,39.43,EUR,105,Food & Beverage - Room Service
INV00195,2024-05-26,BICYCLE RENTAL 7 HOURS,196.05,EUR,410,Transportation
INV00196,2024-12-14,Caesar salad + sparkling water,107.76,GBP,291,Food & Beverage - Restaurant
INV00197,2025-06-04,Body scrub + wrap treatment,285.49,EUR,175,Spa & Wellness
INV00198,2025-02-11,RS: 2x club sandwich delivered to 145,86.83,EUR,451,Food & Beverage - Room Service
INV00199,2025-10-02,Body scrub + wrap treatment,62.75,EUR,324,Spa & Wellness
INV00200,2024-12-29,Wedding package deposit,764.18,EUR,126,Events & Meetings
INV00201,2025-09-10,Meeting room: half day + coffee break,803.74,EUR,189,Events & Meetings
INV00202,2025-10-15,Express laundry same day - 4 items,74.9,GBP,365,Laundry & Housekeeping
INV00203,2024-03-29,Thai green curry with jasmine rice,65.35,USD,460,Food & Beverage - Restaurant
INV00204,2024-06-20,Room 301: breakfast in bed - full english,58.76,EUR,509,Food & Beverage - Room Service
INV00205,2024-07-26,Late checkout fee - Room 117,28.73,USD,158,Room Charges
INV00206,2025-07-12,Meeting room: half day + coffee break,937.45,GBP,292,Events & Meetings
INV00207,2025-08-24,Thai green curry with jasmine rice,110.69,EUR,405,Food & Beverage - Restaurant
INV00208,2025-11-03,Hot stone massage - 120 min session,229.77,EUR,220,Spa & Wellness
INV00209,2025-10-01,Cheese platter + glass of wine,55.49,EUR,316,Food & Beverage - Restaurant
INV00210,2025-06-30,Projector + screen rental,1369.59,USD,474,Events & Meetings
INV00211,2024-03-12,Body scrub + wrap treatment,341.31,EUR,258,Spa & Wellness
INV00212,2025-03-22,Express laundry same day - 7 items,59.43,GBP,332,Laundry & Housekeeping
INV00213,2025-09-02,Dinner: grilled salmon with vegetables,59.63,GBP,176,Food & Beverage - Restaurant
INV00214,2024-01-19,Conference room rental - 60h,68.61,EUR,179,Events & Meetings
INV00215,2024-07-22,Conference room rental - 30h,1022.82,EUR,175,Events & Meetings
INV00216,2024-09-24,Room service: soup + coffee - Room 241,51.36,EUR,467,Food & Beverage - Room Service
INV00217,2024-01-20,Event space: cocktail reception 4 guests,1911.82,EUR,389,Events & Meetings
INV00218,2024-06-17,RS: 2x club sandwich delivered to 492,91.76,EUR,233,Food & Beverage - Room Service
INV00219,2024-01-03,Parking 7 days - underground,179.32,EUR,299,Transportation
INV00220,2024-11-15,Fish and chips +c oleslaw,104.03,GBP,195,Food & Beverage - Restaurant
INV00221,2024-05-13,Room 424: breakfast in bed - full english,76.07,EUR,505,Food & Beverage - Room Service
INV00222,2025-06-28,AV equipment rental full day,241.32,USD,458,Events & Meetings
INV00223,2024-04-28,Caesar salad + sparkling water,97.92,GBP,381,Food & Beverage - Restaurant
INV00224,2024-12-17,Airport transfer - one way,167.58,USD,203,Transportation
INV00225,2025-04-16,Projector + screen rental,1110.24,EUR,276,Events & Meetings
INV00226,2024-08-27,RS: 2x club sandwich delivered to 174,29.32,EUR,427,Food & Beverage - Room Service
INV00227,2024-04-15,AV equipment rental full day,1728.72,EUR,510,Events & Meetings
INV00228,2024-04-24,Business center: printing 6 pages + scanning,1694.18,EUR,185,Events & Meetings
INV00229,2025-04-04,Steak medium rare with mashed potatoes,29.23,USD,188,Food & Beverage - Restaurant
INV00230,2024-08-03,Aromatherapy session 90min,107.84,EUR,428,Spa & Wellness
INV00231,2025-10-27,Late checkout fee - Room 449,47.88,USD,467,Room Charges
INV00232,2024-11-07,"Laundry: 6x shirts, 2x pants",14.83,EUR,325,Laundry & Housekeeping
INV00233,2024-04-02,Body scrub + wrap treatment,326.89,USD,243,Spa & Wellness
INV00234,2025-08-04,Lunch set menu: soup + main + dessert,67.63,EUR,341,Food & Beverage - Restaurant
INV00235,2024-02-16,Minibar consumption Room 341,18.79,USD,193,Food & Beverage - Minibar
INV00236,2024-05-15,Spa day pass - poo l+ sauna + hammam,50.92,EUR,141,Spa & Wellness
INV00237,2025-07-14,Facial treatment - anti aging premium,71.36,EUR,123,Spa & Wellness
INV00238,2024-10-06,Deep tissue massage 30 minutes,222.6,EUR,244,Spa & Wellness
INV00239,2024-02-11,Deep tissue massage 120 minutes,118.75,EUR,266,Spa & Wellness
INV00240,2024-04-19,Minibar restock + consumption Rm361,61.25,EUR,481,Food & Beverage - Minibar
INV00241,2024-09-13,Minibar restock + consumption Rm314,24.31,EUR,501,Food & Beverage - Minibar
INV00242,2025-07-09,Couples spa package: massage + facial,159.81,EUR,220,Spa & Wellness
INV00243,2025-02-15,Room 114 - late night snack + minibar,60.65,EUR,182,Food & Beverage - Room Service
INV00244,2024-08-29,Minibar consumption Room 256,26.69,EUR,309,Food & Beverage - Minibar
INV00245,2024-02-11,Minibar consumption Room 421,64.02,EUR,245,Food & Beverage - Minibar
