transaction_id,customer_id,transaction_date,nights,room_type,daily_rate,total_revenue,hotel_type,booking_channel,meal_plan,extra_spend
T000001,C00001,2024-02-22,2,Standard,980.93,1961.85,Resort Hotel,OTA,BB,61.82
T000002,C00001,2024-04-10,14,Superior,932.67,13057.32,Resort Hotel,OTA,RO,91.49
T000003,C00001,2024-04-24,3,Standard,806.77,2420.31,City Hotel,Travel Agent,HB,128.63
T000004,C00001,2024-05-31,2,Superior,863.7,1727.4,Resort Hotel,Direct,HB,38.85
T000005,C00001,2024-08-27,4,Deluxe,1495.14,5980.57,Resort Hotel,OTA,FB,61.86
T000006,C00001,2024-10-22,3,Suite,1614.38,4843.14,City Hotel,OTA,FB,115.08
T000007,C00001,2024-11-08,14,Superior,1019.76,14276.57,Resort Hotel,OTA,BB,9.27
T000008,C00001,2025-02-16,4,Superior,645.7,2582.79,City Hotel,OTA,BB,57.7
T000009,C00001,2025-06-17,2,Deluxe,1301.72,2603.45,City Hotel,OTA,BB,0.0
T000010,C00001,2025-07-05,4,Suite,2131.59,8526.36,Resort Hotel,Direct,BB,45.66
T000011,C00001,2025-09-13,3,Superior,984.61,2953.84,City Hotel,OTA,HB,55.14
T000012,C00001,2025-09-26,4,Superior,998.16,3992.63,City Hotel,OTA,BB,54.01
T000013,C00001,2025-09-27,10,Superior,851.88,8518.76,City Hotel,Direct,FB,110.0
T000014,C00001,2025-10-10,2,Suite,2533.68,5067.37,Resort Hotel,Direct,RO,105.87
T000015,C00001,2025-10-12,10,Standard,648.39,6483.92,Resort Hotel,Corporate,BB,111.03
T000016,C00001,2025-11-21,1,Superior,1203.32,1203.32,City Hotel,Travel Agent,BB,36.62
T000017,C00001,2026-02-02,3,Superior,843.46,2530.38,Resort Hotel,OTA,FB,26.94
T000018,C00002,2024-04-03,4,Suite,624.0,2495.98,Resort Hotel,OTA,FB,1.98
T000019,C00002,2024-05-26,5,Suite,734.78,3673.9,Resort Hotel,Direct,HB,25.1
T000020,C00002,2024-08-08,4,Standard,279.6,1118.39,City Hotel,Travel Agent,RO,33.22
T000021,C00002,2024-11-02,3,Suite,510.01,1530.04,City Hotel,Corporate,HB,0.0
T000022,C00002,2025-01-18,3,Superior,395.5,1186.49,Resort Hotel,Travel Agent,RO,55.08
T000023,C00002,2025-02-20,2,Superior,479.08,958.15,Resort Hotel,OTA,BB,7.38
T000024,C00002,2025-05-05,3,Deluxe,669.84,2009.51,City Hotel,Corporate,RO,25.76
T000025,C00002,2025-05-17,1,Superior,337.35,337.35,Resort Hotel,OTA,FB,14.12
T000026,C00002,2025-07-28,2,Standard,109.71,219.43,City Hotel,Direct,RO,43.16
T000027,C00002,2025-09-08,1,Superior,183.92,183.92,City Hotel,Travel Agent,BB,94.38
T000028,C00002,2025-09-12,3,Superior,298.25,894.76,City Hotel,Direct,BB,83.43
T000029,C00002,2025-10-28,4,Standard,388.8,1555.18,City Hotel,Travel Agent,FB,61.63
T000030,C00002,2025-12-03,2,Standard,348.16,696.31,City Hotel,Travel Agent,RO,78.72
T000031,C00002,2025-12-10,3,Superior,414.65,1243.95,Resort Hotel,Travel Agent,FB,88.07
T000032,C00003,2024-01-05,4,Standard,553.93,2215.73,Resort Hotel,OTA,FB,90.13
T000033,C00003,2024-02-17,4,Superior,774.54,3098.14,City Hotel,OTA,HB,0.0
T000034,C00003,2024-04-06,3,Deluxe,1126.38,3379.15,City Hotel,Corporate,HB,60.31
T000035,C00003,2024-09-11,2,Standard,1191.73,2383.46,City Hotel,Travel Agent,FB,36.97
T000036,C00003,2024-10-17,4,Superior,1259.94,5039.77,City Hotel,Direct,BB,0.0
T000037,C00003,2025-01-26,2,Superior,1041.03,2082.07,Resort Hotel,OTA,HB,76.1
T000038,C00003,2025-06-06,3,Standard,794.51,2383.53,Resort Hotel,Direct,HB,52.11
T000039,C00003,2025-06-10,7,Standard,807.81,5654.66,City Hotel,Corporate,BB,113.11
T000040,C00003,2025-06-11,1,Suite,2607.07,2607.07,Resort Hotel,Direct,BB,0.0
T000041,C00003,2025-06-20,3,Standard,272.84,818.52,Resort Hotel,Direct,BB,51.12
T000042,C00003,2025-10-15,3,Standard,856.79,2570.37,City Hotel,Corporate,FB,118.58
T000043,C00003,2025-10-16,3,Standard,528.53,1585.59,Resort Hotel,Direct,HB,74.44
T000044,C00003,2025-11-23,3,Deluxe,1551.04,4653.12,City Hotel,Direct,BB,0.0
T000045,C00003,2025-11-28,1,Standard,555.74,555.74,City Hotel,Travel Agent,HB,107.25
T000046,C00003,2025-11-30,2,Standard,647.69,1295.37,City Hotel,Corporate,BB,0.0
T000047,C00004,2024-02-20,4,Standard,107.33,429.31,Resort Hotel,Travel Agent,HB,25.82
T000048,C00004,2024-04-15,7,Standard,243.77,1706.42,City Hotel,OTA,FB,28.21
T000049,C00004,2024-07-10,14,Suite,631.13,8835.76,Resort Hotel,Travel Agent,BB,95.04
T000050,C00004,2024-07-14,3,Standard,258.37,775.11,City Hotel,Direct,BB,68.81
T000051,C00004,2024-08-10,7,Standard,152.19,1065.31,City Hotel,Travel Agent,HB,59.53
T000052,C00004,2024-08-26,3,Superior,312.05,936.15,City Hotel,OTA,FB,132.77
T000053,C00004,2024-08-27,1,Standard,88.53,88.53,City Hotel,Corporate,FB,55.67
T000054,C00004,2024-09-08,2,Standard,185.83,371.66,Resort Hotel,Direct,BB,61.98
T000055,C00004,2024-12-08,3,Superior,298.37,895.12,Resort Hotel,OTA,BB,93.12
T000056,C00004,2024-12-12,7,Deluxe,336.72,2357.05,City Hotel,Travel Agent,BB,63.91
T000057,C00004,2025-01-03,7,Standard,189.86,1328.99,Resort Hotel,OTA,FB,19.81
T000058,C00004,2025-01-31,3,Standard,182.42,547.27,City Hotel,OTA,FB,0.0
T000059,C00004,2025-04-05,3,Presidential,763.04,2289.12,Resort Hotel,OTA,HB,55.97
T000060,C00004,2025-04-14,4,Superior,329.43,1317.72,Resort Hotel,Travel Agent,BB,12.1
T000061,C00004,2025-04-30,2,Suite,769.19,1538.37,City Hotel,OTA,HB,34.76
T000062,C00004,2025-06-09,3,Superior,340.64,1021.92,Resort Hotel,Corporate,RO,0.0
T000063,C00004,2025-08-31,7,Suite,547.73,3834.08,City Hotel,Travel Agent,BB,112.63
T000064,C00004,2025-09-02,10,Deluxe,349.0,3489.96,City Hotel,OTA,HB,24.01
T000065,C00004,2025-09-05,5,Superior,290.57,1452.86,City Hotel,Corporate,BB,0.0
T000066,C00004,2025-09-17,14,Standard,239.04,3346.54,City Hotel,OTA,BB,49.35
T000067,C00004,2025-10-10,5,Standard,136.02,680.1,City Hotel,OTA,HB,135.91
T000068,C00004,2025-12-07,4,Superior,278.02,1112.07,Resort Hotel,Direct,HB,54.19
T000069,C00004,2025-12-18,3,Superior,245.24,735.71,City Hotel,Travel Agent,BB,56.13
T000070,C00005,2024-03-19,5,Deluxe,463.46,2317.31,City Hotel,Direct,HB,5.88
T000071,C00005,2024-09-16,3,Deluxe,602.08,1806.25,City Hotel,Travel Agent,RO,29.59
T000072,C00005,2024-09-18,2,Suite,535.04,1070.07,City Hotel,Corporate,HB,84.5
T000073,C00005,2024-09-26,2,Deluxe,506.5,1013.0,City Hotel,Direct,HB,21.54
T000074,C00005,2024-11-18,3,Standard,364.89,1094.66,City Hotel,OTA,RO,78.94
T000075,C00005,2024-11-23,14,Deluxe,657.36,9203.11,Resort Hotel,Direct,BB,71.61
T000076,C00005,2024-12-02,3,Suite,700.17,2100.52,City Hotel,Travel Agent,BB,50.07
T000077,C00005,2024-12-28,3,Superior,174.0,522.01,Resort Hotel,Direct,FB,63.51
T000078,C00005,2025-01-06,2,Superior,473.34,946.68,Resort Hotel,Travel Agent,RO,108.74
T000079,C00005,2025-01-17,10,Deluxe,312.92,3129.19,Resort Hotel,Direct,FB,67.69
T000080,C00005,2025-04-16,2,Standard,511.75,1023.51,City Hotel,OTA,BB,9.97
T000081,C00005,2025-05-19,5,Standard,350.65,1753.24,City Hotel,Direct,BB,7.38
T000082,C00005,2025-06-24,2,Standard,406.1,812.21,Resort Hotel,Corporate,BB,99.01
T000083,C00005,2025-07-20,3,Deluxe,506.69,1520.07,Resort Hotel,OTA,BB,32.45
T000084,C00005,2025-07-26,2,Superior,258.61,517.21,City Hotel,Corporate,HB,44.24
T000085,C00005,2025-08-26,3,Suite,730.89,2192.66,City Hotel,OTA,BB,25.18
T000086,C00005,2025-09-06,4,Standard,222.79,891.14,Resort Hotel,Direct,HB,100.33
T000087,C00005,2025-09-06,7,Presidential,1808.97,12662.78,Resort Hotel,OTA,HB,70.8
T000088,C00005,2025-09-28,1,Standard,265.92,265.92,City Hotel,Travel Agent,BB,82.64
