item_id,dirty_name,standard_name,category,unit_price,source_system
ITM0001,deep tissue mass.,Deep Tissue Massage 60min,Spa,114.14,POS_Restaurant
ITM0002,grld chicken,Grilled Chicken Breast,Food,42.48,PMS
ITM0003,Coke 330ml,Coca-Cola 330ml,Beverage,86.16,Manual
ITM0004, Margarita Pizza,Margherita Pizza,Food,6.36,POS_Restaurant
ITM0005,draught  beer,Local Beer Draft 500ml,Beverage,60.49,POS_Spa
ITM0006, caesar salad,Caesar Salad,Food,83.77,POS_Restaurant
ITM0007,glass of white wine,House White Wine (Glass),Beverage,105.31,POS_Spa
ITM0008,Transfer Airport,Airport Transfer One Way,Service,19.01,Manual
ITM0009,coke,Coca-Cola 330ml,Beverage,66.17,POS_Spa
ITM0010,DRY CLEANING,Dry Cleaning (per item),Service,13.8,POS_Restaurant
ITM0011,GRILLED CHICKEN,Grilled Chicken Breast,Food,36.8,POS_Bar
ITM0012,pommes frites,French Fries,Food,89.92,POS_Bar
ITM0013,Pepsi Cola 500 ,Pepsi 500ml,Beverage,95.93,POS_Restaurant
ITM0014,drft beer,Local Beer Draft 500ml,Beverage,68.34,POS_Spa
ITM0015,cheese burger,Beef Burger,Food,36.08,POS_Bar
ITM0016,club sandwhich,Club Sandwich,Food,69.95,POS_Restaurant
ITM0017,peps 500ml,Pepsi 500ml,Beverage,120.27,Manual
ITM0018,cafe latte,Latte,Beverage,123.23,POS_Spa
ITM0019,pepsi cola,Pepsi 500ml,Beverage,111.37,POS_Restaurant
ITM0020,Ceasar Salad,Caesar Salad,Food,102.46,PMS
ITM0021,prkg daily,Underground Parking (per day),Service,89.15,PMS
ITM0022,Dry Clean,Dry Cleaning (per item),Service,127.85,POS_Bar
ITM0023,white wine,House White Wine (Glass),Beverage,93.29,PMS
ITM0024,SPAGHETTI BOL,Spaghetti Bolognese,Food,134.3,POS_Bar
ITM0025,swedish mass. 60,Swedish Massage 60min,Spa,41.41,Manual
ITM0026,BEER,Local Beer Draft 500ml,Beverage,24.21,POS_Restaurant
ITM0027,Margarita Pizza,Margherita Pizza,Food,142.36,POS_Spa
ITM0028,glass of red wine,House Red Wine (Glass),Beverage,25.06,Manual
ITM0029,Schoko Kuchen,Chocolate Cake,Food,127.33,PMS
ITM0030,cheese burger,Beef Burger,Food,103.91,PMS
ITM0031,Parking p/day,Underground Parking (per day),Service,124.17,POS_Restaurant
ITM0032,Pepsi 50cl,Pepsi 500ml,Beverage,36.73,POS_Spa
ITM0033,parking ,Underground Parking (per day),Service,41.72,POS_Bar
ITM0034,glass of red wine,House Red Wine (Glass),Beverage,140.03,POS_Bar
ITM0035,choc cake,Chocolate Cake,Food,36.72,Manual
ITM0036,Srpite,Sprite 330ml,Beverage,105.24,POS_Spa
ITM0037,white wine glass,House White Wine (Glass),Beverage,112.13,POS_Restaurant
ITM0038,Swedish 60min,Swedish Massage 60min,Spa,123.94,PMS
ITM0039,LAUNDRY,Laundry Service (per item),Service,110.77,POS_Spa
ITM0040,white  wine  glass,House White Wine (Glass),Beverage,87.58,POS_Restaurant
ITM0041,chips,French Fries,Food,148.41,POS_Restaurant
ITM0042,local beer,Local Beer Draft 500ml,Beverage,117.19,POS_Bar
ITM0043,swedish massage,Swedish Massage 60min,Spa,5.79,POS_Spa
ITM0044,Margherita Pzza ,Margherita Pizza,Food,41.73,POS_Restaurant
ITM0045,Diet Coke 330ml,Coca-Cola 330ml,Beverage,47.72,PMS
ITM0046,Schoko Kuchen,Chocolate Cake,Food,95.48,POS_Restaurant
ITM0047,local beer,Local Beer Draft 500ml,Beverage,25.58,POS_Restaurant
ITM0048, French Fries,French Fries,Food,34.66,POS_Spa
ITM0049,laundry per piece,Laundry Service (per item),Service,138.33,Manual
