review_id,hotel,date,reviewer_country,trip_type,rating,review_text,sentiment_true,aspect_cleanliness,aspect_staff,aspect_food,aspect_location,aspect_value
R0001,City Center Hotel,2025-03-07,KR,Family,5,One of the best hotels I've stayed at. Reception team went above and beyond. Highly recommend!,positive,4,5,5,4,5
R0002,Grand Resort Hotel,2024-10-11,GW,Leisure,2,Hugely disappointed. much cheaper options with better quality nearby. Will be filing a complaint.,negative,1,2,1,3,1
R0003,City Center Hotel,2024-11-07,LK,Leisure,4,One of the best hotels I've stayed at. The concierge gave amazing restaurant recommendations. Highly recommend!,positive,4,4,4,4,5
R0004,Grand Resort Hotel,2024-11-07,NP,Solo,4,Fantastic experience from start to finish. Ideal location for both business and leisure.,positive,5,4,4,4,5
R0005,City Center Hotel,2025-04-12,TW,Business,5,Best hotel experience we've had in years. Housekeeping did an amazing job.,positive,5,5,5,4,4
R0006,City Center Hotel,2025-05-18,HN,Leisure,4,The value was great but the lobby area was dirty. Would still recommend.,mixed,1,3,4,4,5
R0007,Grand Resort Hotel,2024-12-28,VN,Leisure,5,Exceeded our expectations in every way. The location was outstanding.,positive,4,4,4,5,4
R0008,City Center Hotel,2024-07-31,BR,Leisure,2,Worst hotel experience in a long time. food quality was poor for a hotel at this price.,negative,1,1,1,1,1
R0009,City Center Hotel,2024-02-09,BH,Leisure,5,Can't say enough good things about this place. The concierge gave amazing restaurant recommendations and The chef prepared an incredible dinner.,positive,4,5,4,4,5
R0010,Grand Resort Hotel,2025-10-31,CU,Family,4,A truly memorable stay. The location is unbeatable - right in the center. We'll be back for sure!,positive,5,5,4,5,5
R0011,City Center Hotel,2025-07-29,MR,Leisure,5,Can't say enough good things about this place. Excellent value for money and Impeccable cleanliness throughout.,positive,5,5,4,5,4
R0012,City Center Hotel,2025-05-08,SB,Leisure,4,Can't say enough good things about this place. Best deal we found in the area and Impeccable cleanliness throughout.,positive,4,4,4,4,5
R0013,City Center Hotel,2024-08-12,KE,Family,2,Worst hotel experience in a long time. difficult to find parking near the hotel.,negative,1,2,3,2,2
R0014,Grand Resort Hotel,2024-12-19,FR,Couple,5,"Everything was perfect - Best deal we found in the area, The breakfast buffet was outstanding with great variety. 10/10.",positive,4,4,4,4,5
R0015,City Center Hotel,2025-03-27,CZ,Couple,5,Exceeded our expectations in every way. The food was outstanding.,positive,5,5,5,5,4
R0016,City Center Hotel,2024-04-08,MT,Couple,3,"The hotel has potential. The staff was incredibly friendly and helpful, yet way overpriced for what you get.",mixed,3,4,4,4,2
R0017,City Center Hotel,2025-06-26,GA,Family,5,Exceeded our expectations in every way. The food was outstanding.,positive,5,4,5,4,5
R0018,City Center Hotel,2024-03-19,BA,Leisure,2,Terrible experience. the reception seemed overwhelmed and disorganized. the restaurant food was overpriced and bland. Never again.,negative,2,1,1,2,3
R0019,City Center Hotel,2025-01-31,AZ,Business,4,One of the best hotels I've stayed at. Reception team went above and beyond. Highly recommend!,positive,4,4,4,5,5
R0020,City Center Hotel,2024-04-12,GW,Couple,3,"The hotel has potential. Service was impeccable from check-in to checkout, yet the restaurant food was overpriced and bland.",mixed,4,4,1,3,4
R0021,City Center Hotel,2025-03-24,RS,Leisure,1,"Would not recommend. the carpets looked stained and old. For the price we paid, unacceptable.",negative,2,3,2,1,3
R0022,Grand Resort Hotel,2025-12-01,US,Solo,2,Hugely disappointed. difficult to find parking near the hotel. Will be filing a complaint.,negative,1,1,3,2,3
R0023,City Center Hotel,2024-02-12,PA,Couple,2,Not worth the money. waited 20 minutes for someone to help us and difficult to find parking near the hotel.,negative,3,2,2,1,2
R0024,City Center Hotel,2025-04-21,SZ,Couple,4,"The hotel has potential. The location is unbeatable - right in the center, yet the breakfast buffet ran out of items early.",mixed,3,4,2,5,4
R0025,Grand Resort Hotel,2025-12-14,LS,Leisure,2,Very disappointing stay. the neighborhood felt unsafe at night and way overpriced for what you get.,negative,3,2,2,2,1
R0026,City Center Hotel,2024-02-09,CR,Family,3,"Nice hotel with some issues. Best hotel breakfast I've ever had, however location was far from the city center.",mixed,3,3,5,1,4
R0027,City Center Hotel,2024-12-19,IT,Leisure,4,Absolutely wonderful stay! The food was exceptional and the staff exceeded all expectations.,positive,4,4,4,4,5
R0028,Grand Resort Hotel,2025-10-08,LB,Leisure,4,"Everything was perfect - Great location near public transport, Restaurant food was absolutely delicious. 10/10.",positive,5,5,5,5,5
R0029,City Center Hotel,2024-09-05,BA,Business,3,The location was great but not worth the price at all. Would still recommend.,mixed,4,4,3,5,2
R0030,City Center Hotel,2024-05-26,PS,Leisure,4,Can't say enough good things about this place. Ideal location for both business and leisure and Restaurant food was absolutely delicious.,positive,5,5,4,5,5
