question,intent,sql_template,expected_viz,category
What was the cancellation rate last month?,cancellation_rate,"SELECT COUNT(CASE WHEN is_canceled=1 THEN 1 END)*100.0/COUNT(*) as rate FROM bookings WHERE strftime('%Y-%m', arrival_date) = '{last_month}'",metric,cancellation
Show me the cancellation trend over the last 12 months,cancellation_trend,"SELECT strftime('%Y-%m', arrival_date) as month, COUNT(CASE WHEN is_canceled=1 THEN 1 END)*100.0/COUNT(*) as cancel_rate FROM bookings GROUP BY month ORDER BY month",line_chart,cancellation
Which customer segment has the highest cancellation rate?,cancellation_by_segment,"SELECT customer_type, COUNT(CASE WHEN is_canceled=1 THEN 1 END)*100.0/COUNT(*) as cancel_rate FROM bookings GROUP BY customer_type ORDER BY cancel_rate DESC",bar_chart,cancellation
How does lead time affect cancellations?,cancellation_by_leadtime,"SELECT CASE WHEN lead_time<30 THEN '0-30' WHEN lead_time<90 THEN '30-90' WHEN lead_time<180 THEN '90-180' ELSE '180+' END as lead_bucket, COUNT(CASE WHEN is_canceled=1 THEN 1 END)*100.0/COUNT(*) as cancel_rate FROM bookings GROUP BY lead_bucket",bar_chart,cancellation
What is the cancellation rate by deposit type?,cancellation_by_deposit,"SELECT deposit_type, COUNT(CASE WHEN is_canceled=1 THEN 1 END)*100.0/COUNT(*) as cancel_rate FROM bookings GROUP BY deposit_type",bar_chart,cancellation
How many bookings were cancelled this quarter?,cancellation_count,"SELECT COUNT(*) FROM bookings WHERE is_canceled=1 AND strftime('%Y', arrival_date)='{year}' AND ((strftime('%m', arrival_date)-1)/3 + 1) = {quarter}",metric,cancellation
Compare cancellation rates between resort and city hotels,cancellation_by_hotel,"SELECT hotel, COUNT(CASE WHEN is_canceled=1 THEN 1 END)*100.0/COUNT(*) as cancel_rate FROM bookings GROUP BY hotel",bar_chart,cancellation
What is the total revenue this year?,total_revenue,"SELECT SUM(total_revenue) FROM transactions WHERE strftime('%Y', transaction_date)='{year}'",metric,revenue
Show me monthly revenue trend,revenue_trend,"SELECT strftime('%Y-%m', transaction_date) as month, SUM(total_revenue) as revenue FROM transactions GROUP BY month ORDER BY month",line_chart,revenue
What is the average daily rate by room type?,adr_by_room,"SELECT room_type, AVG(daily_rate) as avg_rate FROM transactions GROUP BY room_type ORDER BY avg_rate DESC",bar_chart,revenue
Show me top 10 customers by total revenue,top_customers_revenue,"SELECT customer_id, SUM(total_revenue) as total, COUNT(*) as visits FROM transactions GROUP BY customer_id ORDER BY total DESC LIMIT 10",table,revenue
What is the revenue breakdown by booking channel?,revenue_by_channel,"SELECT booking_channel, SUM(total_revenue) as revenue FROM transactions GROUP BY booking_channel ORDER BY revenue DESC",pie_chart,revenue
Compare Q1 vs Q2 revenue,revenue_quarterly_compare,"SELECT CASE WHEN strftime('%m', transaction_date) IN ('01','02','03') THEN 'Q1' WHEN strftime('%m', transaction_date) IN ('04','05','06') THEN 'Q2' END as quarter, SUM(total_revenue) as revenue FROM transactions WHERE quarter IS NOT NULL GROUP BY quarter",bar_chart,revenue
What is the average revenue per booking?,avg_revenue_per_booking,SELECT AVG(total_revenue) FROM transactions,metric,revenue
Revenue by hotel type for the last 6 months,revenue_by_hotel_type,"SELECT hotel_type, SUM(total_revenue) as revenue FROM transactions WHERE transaction_date >= date('now', '-6 months') GROUP BY hotel_type",bar_chart,revenue
How many customers do we have in each segment?,segment_distribution,"SELECT segment, COUNT(*) as count FROM customer_segments GROUP BY segment ORDER BY count DESC",bar_chart,customer
Which customer segment has the highest churn risk?,churn_risk_segment,"SELECT segment, COUNT(*) as count, AVG(recency) as avg_recency FROM customer_segments WHERE segment IN ('at_risk', 'lost') GROUP BY segment",table,customer
What is the average CLTV by customer segment?,cltv_by_segment,"SELECT segment, AVG(cltv) as avg_cltv FROM customer_segments GROUP BY segment ORDER BY avg_cltv DESC",bar_chart,customer
Show me the RFM distribution of our customers,rfm_distribution,"SELECT rfm_score, COUNT(*) as count FROM customer_segments GROUP BY rfm_score ORDER BY rfm_score",histogram,customer
How many repeat customers do we have?,repeat_customers,SELECT COUNT(DISTINCT customer_id) FROM transactions GROUP BY customer_id HAVING COUNT(*) > 1,metric,customer
What percentage of revenue comes from top 20% customers?,pareto_revenue,"SELECT customer_id, SUM(total_revenue) as total FROM transactions GROUP BY customer_id ORDER BY total DESC",metric,customer
Customer distribution by country - top 10,customers_by_country,"SELECT country, COUNT(*) as count FROM customers GROUP BY country ORDER BY count DESC LIMIT 10",bar_chart,customer
Show champion customers with their total spend,champion_customers,"SELECT c.customer_id, SUM(t.total_revenue) as total_spend, COUNT(*) as visits FROM customer_segments c JOIN transactions t ON c.customer_id=t.customer_id WHERE c.segment='champion' GROUP BY c.customer_id ORDER BY total_spend DESC LIMIT 20",table,customer
What is the current occupancy rate?,occupancy_current,SELECT occupied_rooms*100.0/total_rooms as occupancy_rate FROM daily_metrics ORDER BY date DESC LIMIT 1,metric,occupancy
Compare weekend vs weekday occupancy,occupancy_weekend_weekday,"SELECT CASE WHEN strftime('%w', date) IN ('0','6') THEN 'Weekend' ELSE 'Weekday' END as day_type, AVG(occupancy_rate) as avg_occupancy FROM daily_metrics GROUP BY day_type",bar_chart,occupancy
Show occupancy trend for the last 3 months,occupancy_trend,"SELECT date, occupancy_rate FROM daily_metrics WHERE date >= date('now', '-3 months') ORDER BY date",line_chart,occupancy
Which month had the highest occupancy last year?,occupancy_best_month,"SELECT strftime('%m', date) as month, AVG(occupancy_rate) as avg_occ FROM daily_metrics WHERE strftime('%Y', date)='{last_year}' GROUP BY month ORDER BY avg_occ DESC LIMIT 1",metric,occupancy
Compare occupancy between resort and city hotels,occupancy_by_hotel,"SELECT hotel_type, AVG(occupancy_rate) as avg_occupancy FROM daily_metrics GROUP BY hotel_type",bar_chart,occupancy
What are the most common special requests?,special_requests,"SELECT special_request, COUNT(*) as count FROM booking_requests GROUP BY special_request ORDER BY count DESC LIMIT 10",bar_chart,operations
Average check-in time by day of week,checkin_time,"SELECT strftime('%w', date) as day, AVG(checkin_hour) as avg_hour FROM checkins GROUP BY day ORDER BY day",bar_chart,operations
How long is the average length of stay?,avg_stay_length,SELECT AVG(nights) as avg_nights FROM transactions,metric,operations
What is the most popular meal plan?,meal_plan_popularity,"SELECT meal_plan, COUNT(*) as count FROM transactions GROUP BY meal_plan ORDER BY count DESC",pie_chart,operations
Show me the booking lead time distribution,lead_time_distribution,"SELECT CASE WHEN lead_time<7 THEN 'Last minute' WHEN lead_time<30 THEN '1-4 weeks' WHEN lead_time<90 THEN '1-3 months' ELSE '3+ months' END as bucket, COUNT(*) FROM bookings GROUP BY bucket",bar_chart,operations
What is the average review score this month?,avg_review_score,"SELECT AVG(rating) FROM reviews WHERE strftime('%Y-%m', date) = '{current_month}'",metric,reviews
Show sentiment trend over the last 6 months,sentiment_trend,"SELECT strftime('%Y-%m', date) as month, AVG(rating) as avg_rating, COUNT(*) as review_count FROM reviews WHERE date >= date('now', '-6 months') GROUP BY month ORDER BY month",line_chart,reviews
What aspects get the most complaints?,negative_aspects,"SELECT 'cleanliness' as aspect, AVG(aspect_cleanliness) as score FROM reviews UNION ALL SELECT 'staff', AVG(aspect_staff) FROM reviews UNION ALL SELECT 'food', AVG(aspect_food) FROM reviews UNION ALL SELECT 'location', AVG(aspect_location) FROM reviews UNION ALL SELECT 'value', AVG(aspect_value) FROM reviews ORDER BY score ASC",bar_chart,reviews
Compare review scores between hotels,review_by_hotel,"SELECT hotel, AVG(rating) as avg_rating, COUNT(*) as count FROM reviews GROUP BY hotel",bar_chart,reviews
